dataset,instancia,n,R,archivo
densidad-alta,ALTA-1,1,6,instancias/densidad-alta/ALTA-1.txt
densidad-alta,ALTA-2,2,12,instancias/densidad-alta/ALTA-2.txt
densidad-alta,ALTA-3,3,18,instancias/densidad-alta/ALTA-3.txt
densidad-alta,ALTA-4,4,24,instancias/densidad-alta/ALTA-4.txt
densidad-alta,ALTA-5,5,30,instancias/densidad-alta/ALTA-5.txt
densidad-alta,ALTA-6,6,36,instancias/densidad-alta/ALTA-6.txt
densidad-alta,ALTA-7,7,42,instancias/densidad-alta/ALTA-7.txt
densidad-alta,ALTA-8,8,48,instancias/densidad-alta/ALTA-8.txt
densidad-alta,ALTA-9,9,54,instancias/densidad-alta/ALTA-9.txt
densidad-alta,ALTA-10,10,60,instancias/densidad-alta/ALTA-10.txt
densidad-alta,ALTA-11,11,66,instancias/densidad-alta/ALTA-11.txt
densidad-alta,ALTA-12,12,72,instancias/densidad-alta/ALTA-12.txt
densidad-alta,ALTA-13,13,78,instancias/densidad-alta/ALTA-13.txt
densidad-alta,ALTA-14,14,84,instancias/densidad-alta/ALTA-14.txt
densidad-alta,ALTA-15,15,90,instancias/densidad-alta/ALTA-15.txt
densidad-alta,ALTA-16,16,96,instancias/densidad-alta/ALTA-16.txt
densidad-alta,ALTA-17,17,102,instancias/densidad-alta/ALTA-17.txt
densidad-alta,ALTA-18,18,108,instancias/densidad-alta/ALTA-18.txt
densidad-alta,ALTA-19,19,114,instancias/densidad-alta/ALTA-19.txt
densidad-alta,ALTA-20,20,120,instancias/densidad-alta/ALTA-20.txt
densidad-alta,ALTA-21,21,126,instancias/densidad-alta/ALTA-21.txt
densidad-alta,ALTA-22,22,132,instancias/densidad-alta/ALTA-22.txt
densidad-alta,ALTA-23,23,138,instancias/densidad-alta/ALTA-23.txt
densidad-alta,ALTA-24,24,144,instancias/densidad-alta/ALTA-24.txt
densidad-alta,ALTA-25,25,150,instancias/densidad-alta/ALTA-25.txt
densidad-alta,ALTA-26,26,156,instancias/densidad-alta/ALTA-26.txt
densidad-alta,ALTA-27,27,162,instancias/densidad-alta/ALTA-27.txt
densidad-alta,ALTA-28,28,168,instancias/densidad-alta/ALTA-28.txt
densidad-alta,ALTA-29,29,174,instancias/densidad-alta/ALTA-29.txt
densidad-alta,ALTA-30,30,180,instancias/densidad-alta/ALTA-30.txt
densidad-alta,ALTA-31,31,186,instancias/densidad-alta/ALTA-31.txt
densidad-alta,ALTA-32,32,192,instancias/densidad-alta/ALTA-32.txt
densidad-alta,ALTA-33,33,198,instancias/densidad-alta/ALTA-33.txt
densidad-alta,ALTA-34,34,204,instancias/densidad-alta/ALTA-34.txt
densidad-alta,ALTA-35,35,210,instancias/densidad-alta/ALTA-35.txt
densidad-alta,ALTA-36,36,216,instancias/densidad-alta/ALTA-36.txt
densidad-alta,ALTA-37,37,222,instancias/densidad-alta/ALTA-37.txt
densidad-alta,ALTA-38,38,228,instancias/densidad-alta/ALTA-38.txt
densidad-alta,ALTA-39,39,234,instancias/densidad-alta/ALTA-39.txt
densidad-alta,ALTA-40,40,240,instancias/densidad-alta/ALTA-40.txt
densidad-alta,ALTA-41,41,246,instancias/densidad-alta/ALTA-41.txt
densidad-alta,ALTA-42,42,252,instancias/densidad-alta/ALTA-42.txt
densidad-alta,ALTA-43,43,258,instancias/densidad-alta/ALTA-43.txt
densidad-alta,ALTA-44,44,264,instancias/densidad-alta/ALTA-44.txt
densidad-alta,ALTA-45,45,270,instancias/densidad-alta/ALTA-45.txt
densidad-alta,ALTA-46,46,276,instancias/densidad-alta/ALTA-46.txt
densidad-alta,ALTA-47,47,282,instancias/densidad-alta/ALTA-47.txt
densidad-alta,ALTA-48,48,288,instancias/densidad-alta/ALTA-48.txt
densidad-alta,ALTA-49,49,294,instancias/densidad-alta/ALTA-49.txt
densidad-alta,ALTA-50,50,300,instancias/densidad-alta/ALTA-50.txt
densidad-alta,ALTA-51,51,306,instancias/densidad-alta/ALTA-51.txt
densidad-alta,ALTA-52,52,312,instancias/densidad-alta/ALTA-52.txt
densidad-alta,ALTA-53,53,318,instancias/densidad-alta/ALTA-53.txt
densidad-alta,ALTA-54,54,324,instancias/densidad-alta/ALTA-54.txt
densidad-alta,ALTA-55,55,330,instancias/densidad-alta/ALTA-55.txt
densidad-alta,ALTA-56,56,336,instancias/densidad-alta/ALTA-56.txt
densidad-alta,ALTA-57,57,342,instancias/densidad-alta/ALTA-57.txt
densidad-alta,ALTA-58,58,348,instancias/densidad-alta/ALTA-58.txt
densidad-alta,ALTA-59,59,354,instancias/densidad-alta/ALTA-59.txt
densidad-alta,ALTA-60,60,360,instancias/densidad-alta/ALTA-60.txt
densidad-alta,ALTA-61,61,366,instancias/densidad-alta/ALTA-61.txt
densidad-alta,ALTA-62,62,372,instancias/densidad-alta/ALTA-62.txt
densidad-alta,ALTA-63,63,378,instancias/densidad-alta/ALTA-63.txt
densidad-alta,ALTA-64,64,384,instancias/densidad-alta/ALTA-64.txt
densidad-alta,ALTA-65,65,390,instancias/densidad-alta/ALTA-65.txt
densidad-alta,ALTA-66,66,396,instancias/densidad-alta/ALTA-66.txt
densidad-alta,ALTA-67,67,402,instancias/densidad-alta/ALTA-67.txt
densidad-alta,ALTA-68,68,408,instancias/densidad-alta/ALTA-68.txt
densidad-alta,ALTA-69,69,414,instancias/densidad-alta/ALTA-69.txt
densidad-alta,ALTA-70,70,420,instancias/densidad-alta/ALTA-70.txt
