dataset,instancia,n,R,archivo
densidad-baja,BAJA-1,1,0,instancias/densidad-baja/BAJA-1.txt
densidad-baja,BAJA-2,2,0,instancias/densidad-baja/BAJA-2.txt
densidad-baja,BAJA-3,3,0,instancias/densidad-baja/BAJA-3.txt
densidad-baja,BAJA-4,4,0,instancias/densidad-baja/BAJA-4.txt
densidad-baja,BAJA-5,5,0,instancias/densidad-baja/BAJA-5.txt
densidad-baja,BAJA-6,6,1,instancias/densidad-baja/BAJA-6.txt
densidad-baja,BAJA-7,7,1,instancias/densidad-baja/BAJA-7.txt
densidad-baja,BAJA-8,8,1,instancias/densidad-baja/BAJA-8.txt
densidad-baja,BAJA-9,9,1,instancias/densidad-baja/BAJA-9.txt
densidad-baja,BAJA-10,10,1,instancias/densidad-baja/BAJA-10.txt
densidad-baja,BAJA-11,11,1,instancias/densidad-baja/BAJA-11.txt
densidad-baja,BAJA-12,12,2,instancias/densidad-baja/BAJA-12.txt
densidad-baja,BAJA-13,13,2,instancias/densidad-baja/BAJA-13.txt
densidad-baja,BAJA-14,14,2,instancias/densidad-baja/BAJA-14.txt
densidad-baja,BAJA-15,15,2,instancias/densidad-baja/BAJA-15.txt
densidad-baja,BAJA-16,16,2,instancias/densidad-baja/BAJA-16.txt
densidad-baja,BAJA-17,17,2,instancias/densidad-baja/BAJA-17.txt
densidad-baja,BAJA-18,18,3,instancias/densidad-baja/BAJA-18.txt
densidad-baja,BAJA-19,19,3,instancias/densidad-baja/BAJA-19.txt
densidad-baja,BAJA-20,20,3,instancias/densidad-baja/BAJA-20.txt
densidad-baja,BAJA-21,21,3,instancias/densidad-baja/BAJA-21.txt
densidad-baja,BAJA-22,22,3,instancias/densidad-baja/BAJA-22.txt
densidad-baja,BAJA-23,23,3,instancias/densidad-baja/BAJA-23.txt
densidad-baja,BAJA-24,24,4,instancias/densidad-baja/BAJA-24.txt
densidad-baja,BAJA-25,25,4,instancias/densidad-baja/BAJA-25.txt
densidad-baja,BAJA-26,26,4,instancias/densidad-baja/BAJA-26.txt
densidad-baja,BAJA-27,27,4,instancias/densidad-baja/BAJA-27.txt
densidad-baja,BAJA-28,28,4,instancias/densidad-baja/BAJA-28.txt
