dataset,instancia,n,R,archivo
densidad-mezclada,MEZCLA-1,1,2,instancias/densidad-mezclada/MEZCLA-1.txt
densidad-mezclada,MEZCLA-2,2,5,instancias/densidad-mezclada/MEZCLA-2.txt
densidad-mezclada,MEZCLA-3,3,8,instancias/densidad-mezclada/MEZCLA-3.txt
densidad-mezclada,MEZCLA-4,4,11,instancias/densidad-mezclada/MEZCLA-4.txt
densidad-mezclada,MEZCLA-5,5,15,instancias/densidad-mezclada/MEZCLA-5.txt
densidad-mezclada,MEZCLA-6,6,19,instancias/densidad-mezclada/MEZCLA-6.txt
densidad-mezclada,MEZCLA-7,7,23,instancias/densidad-mezclada/MEZCLA-7.txt
densidad-mezclada,MEZCLA-8,8,28,instancias/densidad-mezclada/MEZCLA-8.txt
densidad-mezclada,MEZCLA-9,9,33,instancias/densidad-mezclada/MEZCLA-9.txt
densidad-mezclada,MEZCLA-10,10,38,instancias/densidad-mezclada/MEZCLA-10.txt
densidad-mezclada,MEZCLA-11,11,44,instancias/densidad-mezclada/MEZCLA-11.txt
densidad-mezclada,MEZCLA-12,12,50,instancias/densidad-mezclada/MEZCLA-12.txt
densidad-mezclada,MEZCLA-13,13,57,instancias/densidad-mezclada/MEZCLA-13.txt
densidad-mezclada,MEZCLA-14,14,63,instancias/densidad-mezclada/MEZCLA-14.txt
densidad-mezclada,MEZCLA-15,15,70,instancias/densidad-mezclada/MEZCLA-15.txt
densidad-mezclada,MEZCLA-16,16,78,instancias/densidad-mezclada/MEZCLA-16.txt
densidad-mezclada,MEZCLA-17,17,85,instancias/densidad-mezclada/MEZCLA-17.txt
densidad-mezclada,MEZCLA-18,18,94,instancias/densidad-mezclada/MEZCLA-18.txt
densidad-mezclada,MEZCLA-19,19,102,instancias/densidad-mezclada/MEZCLA-19.txt
densidad-mezclada,MEZCLA-20,20,111,instancias/densidad-mezclada/MEZCLA-20.txt
densidad-mezclada,MEZCLA-21,21,120,instancias/densidad-mezclada/MEZCLA-21.txt
densidad-mezclada,MEZCLA-22,22,129,instancias/densidad-mezclada/MEZCLA-22.txt
densidad-mezclada,MEZCLA-23,23,139,instancias/densidad-mezclada/MEZCLA-23.txt
densidad-mezclada,MEZCLA-24,24,149,instancias/densidad-mezclada/MEZCLA-24.txt
densidad-mezclada,MEZCLA-25,25,159,instancias/densidad-mezclada/MEZCLA-25.txt
densidad-mezclada,MEZCLA-26,26,170,instancias/densidad-mezclada/MEZCLA-26.txt
densidad-mezclada,MEZCLA-27,27,181,instancias/densidad-mezclada/MEZCLA-27.txt
densidad-mezclada,MEZCLA-28,28,192,instancias/densidad-mezclada/MEZCLA-28.txt
densidad-mezclada,MEZCLA-29,29,204,instancias/densidad-mezclada/MEZCLA-29.txt
densidad-mezclada,MEZCLA-30,30,216,instancias/densidad-mezclada/MEZCLA-30.txt
densidad-mezclada,MEZCLA-31,31,229,instancias/densidad-mezclada/MEZCLA-31.txt
densidad-mezclada,MEZCLA-32,32,241,instancias/densidad-mezclada/MEZCLA-32.txt
densidad-mezclada,MEZCLA-33,33,254,instancias/densidad-mezclada/MEZCLA-33.txt
densidad-mezclada,MEZCLA-34,34,268,instancias/densidad-mezclada/MEZCLA-34.txt
densidad-mezclada,MEZCLA-35,35,281,instancias/densidad-mezclada/MEZCLA-35.txt
densidad-mezclada,MEZCLA-36,36,296,instancias/densidad-mezclada/MEZCLA-36.txt
densidad-mezclada,MEZCLA-37,37,310,instancias/densidad-mezclada/MEZCLA-37.txt
densidad-mezclada,MEZCLA-38,38,325,instancias/densidad-mezclada/MEZCLA-38.txt
densidad-mezclada,MEZCLA-39,39,340,instancias/densidad-mezclada/MEZCLA-39.txt
densidad-mezclada,MEZCLA-40,40,355,instancias/densidad-mezclada/MEZCLA-40.txt
densidad-mezclada,MEZCLA-41,41,371,instancias/densidad-mezclada/MEZCLA-41.txt
densidad-mezclada,MEZCLA-42,42,387,instancias/densidad-mezclada/MEZCLA-42.txt
densidad-mezclada,MEZCLA-43,43,403,instancias/densidad-mezclada/MEZCLA-43.txt
densidad-mezclada,MEZCLA-44,44,420,instancias/densidad-mezclada/MEZCLA-44.txt
densidad-mezclada,MEZCLA-45,45,437,instancias/densidad-mezclada/MEZCLA-45.txt
densidad-mezclada,MEZCLA-46,46,454,instancias/densidad-mezclada/MEZCLA-46.txt
densidad-mezclada,MEZCLA-47,47,472,instancias/densidad-mezclada/MEZCLA-47.txt
densidad-mezclada,MEZCLA-48,48,490,instancias/densidad-mezclada/MEZCLA-48.txt
densidad-mezclada,MEZCLA-49,49,509,instancias/densidad-mezclada/MEZCLA-49.txt
densidad-mezclada,MEZCLA-50,50,527,instancias/densidad-mezclada/MEZCLA-50.txt
densidad-mezclada,MEZCLA-51,51,546,instancias/densidad-mezclada/MEZCLA-51.txt
densidad-mezclada,MEZCLA-52,52,566,instancias/densidad-mezclada/MEZCLA-52.txt
densidad-mezclada,MEZCLA-53,53,585,instancias/densidad-mezclada/MEZCLA-53.txt
densidad-mezclada,MEZCLA-54,54,606,instancias/densidad-mezclada/MEZCLA-54.txt
densidad-mezclada,MEZCLA-55,55,626,instancias/densidad-mezclada/MEZCLA-55.txt
densidad-mezclada,MEZCLA-56,56,647,instancias/densidad-mezclada/MEZCLA-56.txt
densidad-mezclada,MEZCLA-57,57,668,instancias/densidad-mezclada/MEZCLA-57.txt
densidad-mezclada,MEZCLA-58,58,689,instancias/densidad-mezclada/MEZCLA-58.txt
densidad-mezclada,MEZCLA-59,59,711,instancias/densidad-mezclada/MEZCLA-59.txt
densidad-mezclada,MEZCLA-60,60,733,instancias/densidad-mezclada/MEZCLA-60.txt
densidad-mezclada,MEZCLA-61,61,755,instancias/densidad-mezclada/MEZCLA-61.txt
