dataset,instancia,n,R,archivo
mejor-caso-bt,BT-BC-1,1,1,instancias/mejor-caso-bt/BT-BC-1.txt
mejor-caso-bt,BT-BC-2,2,2,instancias/mejor-caso-bt/BT-BC-2.txt
mejor-caso-bt,BT-BC-3,3,3,instancias/mejor-caso-bt/BT-BC-3.txt
mejor-caso-bt,BT-BC-4,4,4,instancias/mejor-caso-bt/BT-BC-4.txt
mejor-caso-bt,BT-BC-5,5,5,instancias/mejor-caso-bt/BT-BC-5.txt
mejor-caso-bt,BT-BC-6,6,6,instancias/mejor-caso-bt/BT-BC-6.txt
mejor-caso-bt,BT-BC-7,7,7,instancias/mejor-caso-bt/BT-BC-7.txt
mejor-caso-bt,BT-BC-8,8,8,instancias/mejor-caso-bt/BT-BC-8.txt
mejor-caso-bt,BT-BC-9,9,9,instancias/mejor-caso-bt/BT-BC-9.txt
mejor-caso-bt,BT-BC-10,10,10,instancias/mejor-caso-bt/BT-BC-10.txt
mejor-caso-bt,BT-BC-11,11,11,instancias/mejor-caso-bt/BT-BC-11.txt
mejor-caso-bt,BT-BC-12,12,12,instancias/mejor-caso-bt/BT-BC-12.txt
mejor-caso-bt,BT-BC-13,13,13,instancias/mejor-caso-bt/BT-BC-13.txt
mejor-caso-bt,BT-BC-14,14,14,instancias/mejor-caso-bt/BT-BC-14.txt
mejor-caso-bt,BT-BC-15,15,15,instancias/mejor-caso-bt/BT-BC-15.txt
mejor-caso-bt,BT-BC-16,16,16,instancias/mejor-caso-bt/BT-BC-16.txt
mejor-caso-bt,BT-BC-17,17,17,instancias/mejor-caso-bt/BT-BC-17.txt
mejor-caso-bt,BT-BC-18,18,18,instancias/mejor-caso-bt/BT-BC-18.txt
mejor-caso-bt,BT-BC-19,19,19,instancias/mejor-caso-bt/BT-BC-19.txt
mejor-caso-bt,BT-BC-20,20,20,instancias/mejor-caso-bt/BT-BC-20.txt
mejor-caso-bt,BT-BC-21,21,21,instancias/mejor-caso-bt/BT-BC-21.txt
mejor-caso-bt,BT-BC-22,22,22,instancias/mejor-caso-bt/BT-BC-22.txt
mejor-caso-bt,BT-BC-23,23,23,instancias/mejor-caso-bt/BT-BC-23.txt
mejor-caso-bt,BT-BC-24,24,24,instancias/mejor-caso-bt/BT-BC-24.txt
mejor-caso-bt,BT-BC-25,25,25,instancias/mejor-caso-bt/BT-BC-25.txt
mejor-caso-bt,BT-BC-26,26,26,instancias/mejor-caso-bt/BT-BC-26.txt
mejor-caso-bt,BT-BC-27,27,27,instancias/mejor-caso-bt/BT-BC-27.txt
mejor-caso-bt,BT-BC-28,28,28,instancias/mejor-caso-bt/BT-BC-28.txt
mejor-caso-bt,BT-BC-29,29,29,instancias/mejor-caso-bt/BT-BC-29.txt
mejor-caso-bt,BT-BC-30,30,30,instancias/mejor-caso-bt/BT-BC-30.txt
mejor-caso-bt,BT-BC-31,31,31,instancias/mejor-caso-bt/BT-BC-31.txt
mejor-caso-bt,BT-BC-32,32,32,instancias/mejor-caso-bt/BT-BC-32.txt
mejor-caso-bt,BT-BC-33,33,33,instancias/mejor-caso-bt/BT-BC-33.txt
mejor-caso-bt,BT-BC-34,34,34,instancias/mejor-caso-bt/BT-BC-34.txt
mejor-caso-bt,BT-BC-35,35,35,instancias/mejor-caso-bt/BT-BC-35.txt
mejor-caso-bt,BT-BC-36,36,36,instancias/mejor-caso-bt/BT-BC-36.txt
mejor-caso-bt,BT-BC-37,37,37,instancias/mejor-caso-bt/BT-BC-37.txt
mejor-caso-bt,BT-BC-38,38,38,instancias/mejor-caso-bt/BT-BC-38.txt
mejor-caso-bt,BT-BC-39,39,39,instancias/mejor-caso-bt/BT-BC-39.txt
mejor-caso-bt,BT-BC-40,40,40,instancias/mejor-caso-bt/BT-BC-40.txt
mejor-caso-bt,BT-BC-41,41,41,instancias/mejor-caso-bt/BT-BC-41.txt
mejor-caso-bt,BT-BC-42,42,42,instancias/mejor-caso-bt/BT-BC-42.txt
mejor-caso-bt,BT-BC-43,43,43,instancias/mejor-caso-bt/BT-BC-43.txt
mejor-caso-bt,BT-BC-44,44,44,instancias/mejor-caso-bt/BT-BC-44.txt
mejor-caso-bt,BT-BC-45,45,45,instancias/mejor-caso-bt/BT-BC-45.txt
mejor-caso-bt,BT-BC-46,46,46,instancias/mejor-caso-bt/BT-BC-46.txt
mejor-caso-bt,BT-BC-47,47,47,instancias/mejor-caso-bt/BT-BC-47.txt
mejor-caso-bt,BT-BC-48,48,48,instancias/mejor-caso-bt/BT-BC-48.txt
mejor-caso-bt,BT-BC-49,49,49,instancias/mejor-caso-bt/BT-BC-49.txt
