dataset,instancia,n,R,archivo
peor-caso-bt,BT-PC-1,1,1,instancias/peor-caso-bt/BT-PC-1.txt
peor-caso-bt,BT-PC-2,2,8,instancias/peor-caso-bt/BT-PC-2.txt
peor-caso-bt,BT-PC-3,3,27,instancias/peor-caso-bt/BT-PC-3.txt
peor-caso-bt,BT-PC-4,4,64,instancias/peor-caso-bt/BT-PC-4.txt
peor-caso-bt,BT-PC-5,5,125,instancias/peor-caso-bt/BT-PC-5.txt
peor-caso-bt,BT-PC-6,6,216,instancias/peor-caso-bt/BT-PC-6.txt
peor-caso-bt,BT-PC-7,7,343,instancias/peor-caso-bt/BT-PC-7.txt
peor-caso-bt,BT-PC-8,8,512,instancias/peor-caso-bt/BT-PC-8.txt
peor-caso-bt,BT-PC-9,9,729,instancias/peor-caso-bt/BT-PC-9.txt
peor-caso-bt,BT-PC-10,10,1000,instancias/peor-caso-bt/BT-PC-10.txt
peor-caso-bt,BT-PC-11,11,1331,instancias/peor-caso-bt/BT-PC-11.txt
peor-caso-bt,BT-PC-12,12,1728,instancias/peor-caso-bt/BT-PC-12.txt
peor-caso-bt,BT-PC-13,13,2197,instancias/peor-caso-bt/BT-PC-13.txt
peor-caso-bt,BT-PC-14,14,2744,instancias/peor-caso-bt/BT-PC-14.txt
peor-caso-bt,BT-PC-15,15,3375,instancias/peor-caso-bt/BT-PC-15.txt
peor-caso-bt,BT-PC-16,16,4096,instancias/peor-caso-bt/BT-PC-16.txt
peor-caso-bt,BT-PC-17,17,4913,instancias/peor-caso-bt/BT-PC-17.txt
peor-caso-bt,BT-PC-18,18,5832,instancias/peor-caso-bt/BT-PC-18.txt
peor-caso-bt,BT-PC-19,19,6859,instancias/peor-caso-bt/BT-PC-19.txt
peor-caso-bt,BT-PC-20,20,8000,instancias/peor-caso-bt/BT-PC-20.txt
peor-caso-bt,BT-PC-21,21,9261,instancias/peor-caso-bt/BT-PC-21.txt
peor-caso-bt,BT-PC-22,22,10648,instancias/peor-caso-bt/BT-PC-22.txt
peor-caso-bt,BT-PC-23,23,12167,instancias/peor-caso-bt/BT-PC-23.txt
peor-caso-bt,BT-PC-24,24,13824,instancias/peor-caso-bt/BT-PC-24.txt
peor-caso-bt,BT-PC-25,25,15625,instancias/peor-caso-bt/BT-PC-25.txt
peor-caso-bt,BT-PC-26,26,17576,instancias/peor-caso-bt/BT-PC-26.txt
peor-caso-bt,BT-PC-27,27,19683,instancias/peor-caso-bt/BT-PC-27.txt
peor-caso-bt,BT-PC-28,28,21952,instancias/peor-caso-bt/BT-PC-28.txt
peor-caso-bt,BT-PC-29,29,24389,instancias/peor-caso-bt/BT-PC-29.txt
peor-caso-bt,BT-PC-30,30,27000,instancias/peor-caso-bt/BT-PC-30.txt
peor-caso-bt,BT-PC-31,31,29791,instancias/peor-caso-bt/BT-PC-31.txt
peor-caso-bt,BT-PC-32,32,32768,instancias/peor-caso-bt/BT-PC-32.txt
peor-caso-bt,BT-PC-33,33,35937,instancias/peor-caso-bt/BT-PC-33.txt
peor-caso-bt,BT-PC-34,34,39304,instancias/peor-caso-bt/BT-PC-34.txt
peor-caso-bt,BT-PC-35,35,42875,instancias/peor-caso-bt/BT-PC-35.txt
peor-caso-bt,BT-PC-36,36,46656,instancias/peor-caso-bt/BT-PC-36.txt
peor-caso-bt,BT-PC-37,37,50653,instancias/peor-caso-bt/BT-PC-37.txt
peor-caso-bt,BT-PC-38,38,54872,instancias/peor-caso-bt/BT-PC-38.txt
peor-caso-bt,BT-PC-39,39,59319,instancias/peor-caso-bt/BT-PC-39.txt
peor-caso-bt,BT-PC-40,40,64000,instancias/peor-caso-bt/BT-PC-40.txt
peor-caso-bt,BT-PC-41,41,68921,instancias/peor-caso-bt/BT-PC-41.txt
peor-caso-bt,BT-PC-42,42,74088,instancias/peor-caso-bt/BT-PC-42.txt
peor-caso-bt,BT-PC-43,43,79507,instancias/peor-caso-bt/BT-PC-43.txt
peor-caso-bt,BT-PC-44,44,85184,instancias/peor-caso-bt/BT-PC-44.txt
peor-caso-bt,BT-PC-45,45,91125,instancias/peor-caso-bt/BT-PC-45.txt
peor-caso-bt,BT-PC-46,46,97336,instancias/peor-caso-bt/BT-PC-46.txt
peor-caso-bt,BT-PC-47,47,103823,instancias/peor-caso-bt/BT-PC-47.txt
peor-caso-bt,BT-PC-48,48,110592,instancias/peor-caso-bt/BT-PC-48.txt
peor-caso-bt,BT-PC-49,49,117649,instancias/peor-caso-bt/BT-PC-49.txt
peor-caso-bt,BT-PC-50,50,125000,instancias/peor-caso-bt/BT-PC-50.txt
peor-caso-bt,BT-PC-51,51,132651,instancias/peor-caso-bt/BT-PC-51.txt
peor-caso-bt,BT-PC-52,52,140608,instancias/peor-caso-bt/BT-PC-52.txt
peor-caso-bt,BT-PC-53,53,148877,instancias/peor-caso-bt/BT-PC-53.txt
peor-caso-bt,BT-PC-54,54,157464,instancias/peor-caso-bt/BT-PC-54.txt
peor-caso-bt,BT-PC-55,55,166375,instancias/peor-caso-bt/BT-PC-55.txt
peor-caso-bt,BT-PC-56,56,175616,instancias/peor-caso-bt/BT-PC-56.txt
peor-caso-bt,BT-PC-57,57,185193,instancias/peor-caso-bt/BT-PC-57.txt
peor-caso-bt,BT-PC-58,58,195112,instancias/peor-caso-bt/BT-PC-58.txt
peor-caso-bt,BT-PC-59,59,205379,instancias/peor-caso-bt/BT-PC-59.txt
peor-caso-bt,BT-PC-60,60,216000,instancias/peor-caso-bt/BT-PC-60.txt
peor-caso-bt,BT-PC-61,61,226981,instancias/peor-caso-bt/BT-PC-61.txt
peor-caso-bt,BT-PC-62,62,238328,instancias/peor-caso-bt/BT-PC-62.txt
peor-caso-bt,BT-PC-63,63,250047,instancias/peor-caso-bt/BT-PC-63.txt
peor-caso-bt,BT-PC-64,64,262144,instancias/peor-caso-bt/BT-PC-64.txt
peor-caso-bt,BT-PC-65,65,274625,instancias/peor-caso-bt/BT-PC-65.txt
peor-caso-bt,BT-PC-66,66,287496,instancias/peor-caso-bt/BT-PC-66.txt
peor-caso-bt,BT-PC-67,67,300763,instancias/peor-caso-bt/BT-PC-67.txt
peor-caso-bt,BT-PC-68,68,314432,instancias/peor-caso-bt/BT-PC-68.txt
peor-caso-bt,BT-PC-69,69,328509,instancias/peor-caso-bt/BT-PC-69.txt
peor-caso-bt,BT-PC-70,70,343000,instancias/peor-caso-bt/BT-PC-70.txt
peor-caso-bt,BT-PC-71,71,357911,instancias/peor-caso-bt/BT-PC-71.txt
peor-caso-bt,BT-PC-72,72,373248,instancias/peor-caso-bt/BT-PC-72.txt
peor-caso-bt,BT-PC-73,73,389017,instancias/peor-caso-bt/BT-PC-73.txt
peor-caso-bt,BT-PC-74,74,405224,instancias/peor-caso-bt/BT-PC-74.txt
peor-caso-bt,BT-PC-75,75,421875,instancias/peor-caso-bt/BT-PC-75.txt
peor-caso-bt,BT-PC-76,76,438976,instancias/peor-caso-bt/BT-PC-76.txt
peor-caso-bt,BT-PC-77,77,456533,instancias/peor-caso-bt/BT-PC-77.txt
peor-caso-bt,BT-PC-78,78,474552,instancias/peor-caso-bt/BT-PC-78.txt
peor-caso-bt,BT-PC-79,79,493039,instancias/peor-caso-bt/BT-PC-79.txt
peor-caso-bt,BT-PC-80,80,512000,instancias/peor-caso-bt/BT-PC-80.txt
peor-caso-bt,BT-PC-81,81,531441,instancias/peor-caso-bt/BT-PC-81.txt
peor-caso-bt,BT-PC-82,82,551368,instancias/peor-caso-bt/BT-PC-82.txt
peor-caso-bt,BT-PC-83,83,571787,instancias/peor-caso-bt/BT-PC-83.txt
peor-caso-bt,BT-PC-84,84,592704,instancias/peor-caso-bt/BT-PC-84.txt
peor-caso-bt,BT-PC-85,85,614125,instancias/peor-caso-bt/BT-PC-85.txt
peor-caso-bt,BT-PC-86,86,636056,instancias/peor-caso-bt/BT-PC-86.txt
peor-caso-bt,BT-PC-87,87,658503,instancias/peor-caso-bt/BT-PC-87.txt
peor-caso-bt,BT-PC-88,88,681472,instancias/peor-caso-bt/BT-PC-88.txt
peor-caso-bt,BT-PC-89,89,704969,instancias/peor-caso-bt/BT-PC-89.txt
peor-caso-bt,BT-PC-90,90,729000,instancias/peor-caso-bt/BT-PC-90.txt
peor-caso-bt,BT-PC-91,91,753571,instancias/peor-caso-bt/BT-PC-91.txt
peor-caso-bt,BT-PC-92,92,778688,instancias/peor-caso-bt/BT-PC-92.txt
peor-caso-bt,BT-PC-93,93,804357,instancias/peor-caso-bt/BT-PC-93.txt
peor-caso-bt,BT-PC-94,94,830584,instancias/peor-caso-bt/BT-PC-94.txt
peor-caso-bt,BT-PC-95,95,857375,instancias/peor-caso-bt/BT-PC-95.txt
peor-caso-bt,BT-PC-96,96,884736,instancias/peor-caso-bt/BT-PC-96.txt
peor-caso-bt,BT-PC-97,97,912673,instancias/peor-caso-bt/BT-PC-97.txt
