dataset,n,R,metodo,tiempo
densidad-alta,1,6,DP,0.006462
densidad-alta,2,12,DP,0.007533
densidad-alta,3,18,DP,0.01091
densidad-alta,4,24,DP,0.013965
densidad-alta,5,30,DP,0.017813
densidad-alta,6,36,DP,0.024634
densidad-alta,7,42,DP,0.035775
densidad-alta,8,48,DP,0.042387
densidad-alta,9,54,DP,0.075497
densidad-alta,10,60,DP,0.088281
densidad-alta,11,66,DP,0.113116
densidad-alta,12,72,DP,0.134916
densidad-alta,13,78,DP,0.118676
densidad-alta,14,84,DP,0.194484
densidad-alta,15,90,DP,0.191709
densidad-alta,16,96,DP,0.210564
densidad-alta,17,102,DP,0.229268
densidad-alta,18,108,DP,0.368541
densidad-alta,19,114,DP,0.378138
densidad-alta,20,120,DP,0.358603
densidad-alta,21,126,DP,0.482178
densidad-alta,22,132,DP,0.541687
densidad-alta,23,138,DP,0.590385
densidad-alta,24,144,DP,0.401331
densidad-alta,25,150,DP,0.73584
densidad-alta,26,156,DP,0.753322
densidad-alta,27,162,DP,0.884581
densidad-alta,28,168,DP,0.992197
densidad-alta,29,174,DP,0.981978
densidad-alta,30,180,DP,1.30848
densidad-alta,31,186,DP,1.00587
densidad-alta,32,192,DP,1.17823
densidad-alta,33,198,DP,1.61415
densidad-alta,34,204,DP,1.03257
densidad-alta,35,210,DP,1.57796
densidad-alta,36,216,DP,1.422
densidad-alta,37,222,DP,1.60013
densidad-alta,38,228,DP,2.08293
densidad-alta,39,234,DP,1.75302
densidad-alta,40,240,DP,2.21556
densidad-alta,41,246,DP,2.09895
densidad-alta,42,252,DP,2.63711
densidad-alta,43,258,DP,2.05789
densidad-alta,44,264,DP,2.33792
densidad-alta,45,270,DP,2.09132
densidad-alta,46,276,DP,2.0695
densidad-alta,47,282,DP,2.65555
densidad-alta,48,288,DP,3.02492
densidad-alta,49,294,DP,3.26199
densidad-alta,50,300,DP,3.91947
densidad-alta,51,306,DP,3.0001
densidad-alta,52,312,DP,3.82379
densidad-alta,53,318,DP,4.69058
densidad-alta,54,324,DP,4.66282
densidad-alta,55,330,DP,4.27449
densidad-alta,56,336,DP,3.94742
densidad-alta,57,342,DP,4.32572
densidad-alta,58,348,DP,4.27426
densidad-alta,59,354,DP,4.97585
densidad-alta,60,360,DP,4.60629
densidad-alta,61,366,DP,5.16118
densidad-alta,62,372,DP,4.24259
densidad-alta,63,378,DP,4.37368
densidad-alta,64,384,DP,5.88485
densidad-alta,65,390,DP,4.427
densidad-alta,66,396,DP,5.9005
densidad-alta,67,402,DP,8.12037
densidad-alta,68,408,DP,6.84982
densidad-alta,69,414,DP,7.03039
densidad-alta,70,420,DP,7.2752
densidad-alta,71,426,DP,6.07097
densidad-alta,72,432,DP,6.95995
densidad-alta,73,438,DP,7.35312
densidad-alta,74,444,DP,7.7812
densidad-alta,75,450,DP,7.45702
densidad-alta,76,456,DP,9.63171
densidad-alta,77,462,DP,5.4819
densidad-alta,78,468,DP,8.78466
densidad-alta,79,474,DP,8.96363
densidad-alta,80,480,DP,8.91033
densidad-alta,81,486,DP,7.45256
densidad-alta,82,492,DP,8.56456
densidad-alta,83,498,DP,8.1744
densidad-alta,84,504,DP,10.912
densidad-alta,85,510,DP,8.63835
densidad-alta,86,516,DP,9.90915
densidad-alta,87,522,DP,9.64025
densidad-alta,88,528,DP,10.4428
densidad-alta,89,534,DP,9.82818
densidad-alta,90,540,DP,9.53906
densidad-alta,91,546,DP,9.88059
densidad-alta,92,552,DP,10.369
densidad-alta,93,558,DP,11.6828
densidad-alta,94,564,DP,11.6019
densidad-alta,95,570,DP,12.2125
densidad-alta,96,576,DP,11.4461
densidad-alta,97,582,DP,9.94658
densidad-alta,98,588,DP,10.6017
densidad-alta,99,594,DP,12.729
densidad-alta,100,600,DP,12.1518
densidad-alta,101,606,DP,12.5631
densidad-alta,102,612,DP,12.8125
densidad-alta,103,618,DP,12.8213
densidad-alta,104,624,DP,14.4864
densidad-alta,105,630,DP,12.2211
densidad-alta,106,636,DP,13.901
densidad-alta,107,642,DP,13.6765
densidad-alta,108,648,DP,12.5095
densidad-alta,109,654,DP,14.5767
densidad-alta,110,660,DP,14.1278
densidad-alta,111,666,DP,13.7937
densidad-alta,112,672,DP,12.8717
densidad-alta,113,678,DP,15.128
densidad-alta,114,684,DP,15.2225
densidad-alta,115,690,DP,14.5728
densidad-alta,116,696,DP,16.88
densidad-alta,117,702,DP,14.6314
densidad-alta,118,708,DP,14.8099
densidad-alta,119,714,DP,15.1178
densidad-alta,120,720,DP,15.983
densidad-alta,121,726,DP,14.656
densidad-alta,122,732,DP,15.3961
densidad-alta,123,738,DP,15.5003
densidad-alta,124,744,DP,15.798
densidad-alta,125,750,DP,15.5318
densidad-alta,126,756,DP,15.8498
densidad-alta,127,762,DP,18.503
densidad-alta,128,768,DP,18.8644
densidad-alta,129,774,DP,17.5053
densidad-alta,130,780,DP,17.258
densidad-alta,131,786,DP,18.1416
densidad-alta,132,792,DP,18.793
densidad-alta,133,798,DP,15.8799
densidad-alta,134,804,DP,16.0727
densidad-alta,135,810,DP,20.3158
densidad-alta,136,816,DP,19.4261
densidad-alta,137,822,DP,19.2832
densidad-alta,138,828,DP,20.0367
densidad-alta,139,834,DP,21.2731
densidad-alta,140,840,DP,20.7607
densidad-alta,141,846,DP,19.382
densidad-alta,142,852,DP,21.8036
densidad-alta,143,858,DP,21.9093
densidad-alta,144,864,DP,22.4455
densidad-alta,145,870,DP,23.4512
densidad-alta,146,876,DP,20.7694
densidad-alta,147,882,DP,22.8201
densidad-alta,148,888,DP,20.7029
densidad-alta,149,894,DP,25.0913
densidad-alta,150,900,DP,25.1303
densidad-alta,151,906,DP,24.8558
densidad-alta,152,912,DP,27.4141
