dataset,n,R,metodo,tiempo
densidad-baja,0,0,BT-0,0.001182
densidad-baja,0,0,BT-F,0.001563
densidad-baja,1,0,BT-0,0.000902
densidad-baja,1,0,BT-F,0.001052
densidad-baja,2,0,BT-0,0.001012
densidad-baja,2,0,BT-F,0.000781
densidad-baja,3,0,BT-0,0.001413
densidad-baja,3,0,BT-F,0.001383
densidad-baja,4,0,BT-0,0.001152
densidad-baja,4,0,BT-F,0.001643
densidad-baja,5,1,BT-0,0.001312
densidad-baja,5,1,BT-F,0.000891
densidad-baja,6,1,BT-0,0.000751
densidad-baja,6,1,BT-F,0.001422
densidad-baja,7,1,BT-0,0.000652
densidad-baja,7,1,BT-F,0.001443
densidad-baja,8,1,BT-0,0.001493
densidad-baja,8,1,BT-F,0.001593
densidad-baja,9,1,BT-0,0.001432
densidad-baja,9,1,BT-F,0.001442
densidad-baja,10,1,BT-0,0.001443
densidad-baja,10,1,BT-F,0.000972
densidad-baja,11,2,BT-0,0.001523
densidad-baja,11,2,BT-F,0.001674
densidad-baja,12,2,BT-0,0.001483
densidad-baja,12,2,BT-F,0.001984
densidad-baja,13,2,BT-0,0.000781
densidad-baja,13,2,BT-F,0.001543
densidad-baja,14,2,BT-0,0.001583
densidad-baja,14,2,BT-F,0.001112
densidad-baja,15,2,BT-0,0.001643
densidad-baja,15,2,BT-F,0.000922
densidad-baja,16,2,BT-0,0.001934
densidad-baja,16,2,BT-F,0.001913
densidad-baja,17,3,BT-0,0.003266
densidad-baja,17,3,BT-F,0.002515
densidad-baja,18,3,BT-0,0.001162
densidad-baja,18,3,BT-F,0.001694
densidad-baja,19,3,BT-0,0.001693
densidad-baja,19,3,BT-F,0.001623
densidad-baja,20,3,BT-0,0.001894
densidad-baja,20,3,BT-F,0.001593
densidad-baja,21,3,BT-0,0.004288
densidad-baja,21,3,BT-F,0.002164
densidad-baja,22,3,BT-0,0.001904
densidad-baja,22,3,BT-F,0.001873
densidad-baja,23,4,BT-0,0.002785
densidad-baja,23,4,BT-F,0.004058
densidad-baja,24,4,BT-0,0.003166
densidad-baja,24,4,BT-F,0.003075
densidad-baja,25,4,BT-0,0.003406
densidad-baja,25,4,BT-F,0.003286
densidad-baja,26,4,BT-0,0.004999
densidad-baja,26,4,BT-F,0.003917
densidad-baja,27,4,BT-0,0.00516
densidad-baja,27,4,BT-F,0.004718
densidad-baja,28,4,BT-0,0.004729
densidad-baja,28,4,BT-F,0.004759
densidad-baja,29,5,BT-0,0.004078
densidad-baja,29,5,BT-F,0.003366
densidad-baja,30,5,BT-0,0.004709
densidad-baja,30,5,BT-F,0.003757
densidad-baja,31,5,BT-0,0.004419
densidad-baja,31,5,BT-F,0.004739
densidad-baja,32,5,BT-0,0.005039
densidad-baja,32,5,BT-F,0.00512
densidad-baja,33,5,BT-0,0.003036
densidad-baja,33,5,BT-F,0.004328
densidad-baja,34,5,BT-0,0.004809
densidad-baja,34,5,BT-F,0.006152
densidad-baja,35,6,BT-0,0.006592
densidad-baja,35,6,BT-F,0.006241
densidad-baja,36,6,BT-0,0.003847
densidad-baja,36,6,BT-F,0.003135
densidad-baja,37,6,BT-0,0.003687
densidad-baja,37,6,BT-F,0.007264
densidad-baja,38,6,BT-0,0.007184
densidad-baja,38,6,BT-F,0.003847
densidad-baja,39,6,BT-0,0.004228
densidad-baja,39,6,BT-F,0.005851
densidad-baja,40,6,BT-0,0.003326
densidad-baja,40,6,BT-F,0.007083
densidad-baja,41,7,BT-0,0.008737
densidad-baja,41,7,BT-F,0.010089
densidad-baja,42,7,BT-0,0.008767
densidad-baja,42,7,BT-F,0.004919
densidad-baja,43,7,BT-0,0.007183
densidad-baja,43,7,BT-F,0.003366
densidad-baja,44,7,BT-0,0.003848
densidad-baja,44,7,BT-F,0.01062
densidad-baja,45,7,BT-0,0.012143
densidad-baja,45,7,BT-F,0.004899
densidad-baja,46,7,BT-0,0.004128
densidad-baja,46,7,BT-F,0.007594
densidad-baja,47,8,BT-0,0.007283
densidad-baja,47,8,BT-F,0.010139
densidad-baja,48,8,BT-0,0.003657
densidad-baja,48,8,BT-F,0.008035
densidad-baja,49,8,BT-0,0.008957
densidad-baja,49,8,BT-F,0.009027
densidad-baja,50,8,BT-0,0.009168
densidad-baja,50,8,BT-F,0.009127
densidad-baja,51,8,BT-0,0.011201
densidad-baja,51,8,BT-F,0.009047
densidad-baja,52,8,BT-0,0.012824
densidad-baja,52,8,BT-F,0.012523
densidad-baja,53,9,BT-0,0.013625
densidad-baja,53,9,BT-F,0.008425
densidad-baja,54,9,BT-0,0.013666
densidad-baja,54,9,BT-F,0.01581
densidad-baja,55,9,BT-0,0.011562
densidad-baja,55,9,BT-F,0.011301
densidad-baja,56,9,BT-0,0.016511
densidad-baja,56,9,BT-F,0.01615
densidad-baja,57,9,BT-0,0.014046
densidad-baja,57,9,BT-F,0.007213
densidad-baja,58,9,BT-0,0.011622
densidad-baja,58,9,BT-F,0.044453
densidad-baja,59,10,BT-0,0.020078
densidad-baja,59,10,BT-F,0.011292
densidad-baja,60,10,BT-0,0.017252
densidad-baja,60,10,BT-F,0.016872
densidad-baja,61,10,BT-0,0.009818
densidad-baja,61,10,BT-F,0.010259
densidad-baja,62,10,BT-0,0.01568
densidad-baja,62,10,BT-F,0.012263
densidad-baja,63,10,BT-0,0.016441
densidad-baja,63,10,BT-F,0.012734
densidad-baja,64,10,BT-0,0.017783
densidad-baja,64,10,BT-F,0.015509
densidad-baja,65,11,BT-0,0.018364
densidad-baja,65,11,BT-F,0.020508
densidad-baja,66,11,BT-0,0.014137
densidad-baja,66,11,BT-F,0.013936
densidad-baja,67,11,BT-0,0.017443
densidad-baja,67,11,BT-F,0.016772
densidad-baja,68,11,BT-0,0.020659
densidad-baja,68,11,BT-F,0.019436
densidad-baja,69,11,BT-0,0.016681
densidad-baja,69,11,BT-F,0.018204
densidad-baja,70,11,BT-0,0.016842
densidad-baja,70,11,BT-F,0.017953
densidad-baja,71,12,BT-0,0.011501
densidad-baja,71,12,BT-F,0.021821
densidad-baja,72,12,BT-0,0.023524
densidad-baja,72,12,BT-F,0.020458
densidad-baja,73,12,BT-0,0.024336
densidad-baja,73,12,BT-F,0.02137
densidad-baja,74,12,BT-0,0.009949
densidad-baja,74,12,BT-F,0.020809
densidad-baja,75,12,BT-0,0.030046
densidad-baja,75,12,BT-F,0.028594
densidad-baja,76,12,BT-0,0.046217
densidad-baja,76,12,BT-F,0.02136
densidad-baja,77,13,BT-0,0.013676
densidad-baja,77,13,BT-F,0.011101
densidad-baja,78,13,BT-0,0.0376
densidad-baja,78,13,BT-F,0.02664
densidad-baja,79,13,BT-0,0.013115
densidad-baja,79,13,BT-F,0.011321
densidad-baja,80,13,BT-0,0.032391
densidad-baja,80,13,BT-F,0.033593
densidad-baja,81,13,BT-0,0.027712
densidad-baja,81,13,BT-F,0.026349
densidad-baja,82,13,BT-0,0.027942
densidad-baja,82,13,BT-F,0.0271
densidad-baja,83,14,BT-0,0.028493
densidad-baja,83,14,BT-F,0.025578
densidad-baja,84,14,BT-0,0.027973
densidad-baja,84,14,BT-F,0.021731
densidad-baja,85,14,BT-0,0.028924
densidad-baja,85,14,BT-F,0.027972
densidad-baja,86,14,BT-0,0.017071
densidad-baja,86,14,BT-F,0.044153
densidad-baja,87,14,BT-0,0.034084
densidad-baja,87,14,BT-F,0.037269
densidad-baja,88,14,BT-0,0.035606
densidad-baja,88,14,BT-F,0.032551
densidad-baja,89,15,BT-0,0.020889
densidad-baja,89,15,BT-F,0.029515
densidad-baja,90,15,BT-0,0.036298
densidad-baja,90,15,BT-F,0.033993
densidad-baja,91,15,BT-0,0.031018
densidad-baja,91,15,BT-F,0.025468
densidad-baja,92,15,BT-0,0.036208
densidad-baja,92,15,BT-F,0.033362
densidad-baja,93,15,BT-0,0.034805
densidad-baja,93,15,BT-F,0.01593
densidad-baja,94,15,BT-0,0.038903
densidad-baja,94,15,BT-F,0.031859
densidad-baja,95,16,BT-0,0.074149
densidad-baja,95,16,BT-F,0.02118
densidad-baja,96,16,BT-0,0.044844
densidad-baja,96,16,BT-F,0.036287
densidad-baja,97,16,BT-0,0.039304
densidad-baja,97,16,BT-F,0.024536
densidad-baja,98,16,BT-0,0.017242
densidad-baja,98,16,BT-F,0.038923
densidad-baja,99,16,BT-0,0.039735
densidad-baja,99,16,BT-F,0.037901
densidad-baja,100,16,BT-0,0.030467
densidad-baja,100,16,BT-F,0.027812
densidad-baja,101,17,BT-0,0.049252
densidad-baja,101,17,BT-F,0.047068
densidad-baja,102,17,BT-0,0.045465
densidad-baja,102,17,BT-F,0.027692
densidad-baja,103,17,BT-0,0.028984
densidad-baja,103,17,BT-F,0.044584
densidad-baja,104,17,BT-0,0.048511
densidad-baja,104,17,BT-F,0.046587
densidad-baja,105,17,BT-0,0.030727
densidad-baja,105,17,BT-F,0.048561
densidad-baja,106,17,BT-0,0.049482
densidad-baja,106,17,BT-F,0.045786
densidad-baja,107,18,BT-0,0.043712
densidad-baja,107,18,BT-F,0.037339
densidad-baja,108,18,BT-0,0.062808
densidad-baja,108,18,BT-F,0.051106
densidad-baja,109,18,BT-0,0.041568
densidad-baja,109,18,BT-F,0.055313
densidad-baja,110,18,BT-0,0.050404
densidad-baja,110,18,BT-F,0.051506
densidad-baja,111,18,BT-0,0.054642
densidad-baja,111,18,BT-F,0.020869
densidad-baja,112,18,BT-0,0.048921
densidad-baja,112,18,BT-F,0.051246
densidad-baja,113,19,BT-0,0.047228
densidad-baja,113,19,BT-F,0.021961
densidad-baja,114,19,BT-0,0.076142
densidad-baja,114,19,BT-F,0.040265
densidad-baja,115,19,BT-0,0.045445
densidad-baja,115,19,BT-F,0.038632
densidad-baja,116,19,BT-0,0.060122
densidad-baja,116,19,BT-F,0.035536
densidad-baja,117,19,BT-0,0.070041
densidad-baja,117,19,BT-F,0.069189
densidad-baja,118,19,BT-0,0.049432
densidad-baja,118,19,BT-F,0.047799
densidad-baja,119,20,BT-0,0.061915
densidad-baja,119,20,BT-F,0.03777
densidad-baja,120,20,BT-0,0.065372
densidad-baja,120,20,BT-F,0.039483
densidad-baja,121,20,BT-0,0.102772
densidad-baja,121,20,BT-F,0.050043
densidad-baja,122,20,BT-0,0.07503
densidad-baja,122,20,BT-F,0.081372
densidad-baja,123,20,BT-0,0.072496
densidad-baja,123,20,BT-F,0.069279
densidad-baja,124,20,BT-0,0.074088
densidad-baja,124,20,BT-F,0.068267
densidad-baja,125,21,BT-0,0.061314
densidad-baja,125,21,BT-F,0.082875
densidad-baja,126,21,BT-0,0.073607
densidad-baja,126,21,BT-F,0.03724
densidad-baja,127,21,BT-0,0.08594
densidad-baja,127,21,BT-F,0.044373
densidad-baja,128,21,BT-0,0.078446
densidad-baja,128,21,BT-F,0.073517
densidad-baja,129,21,BT-0,0.059601
densidad-baja,129,21,BT-F,0.054682
densidad-baja,130,21,BT-0,0.075912
densidad-baja,130,21,BT-F,0.071433
densidad-baja,131,22,BT-0,0.08019
densidad-baja,131,22,BT-F,0.037109
densidad-baja,132,22,BT-0,0.095699
densidad-baja,132,22,BT-F,0.097763
densidad-baja,133,22,BT-0,0.071724
densidad-baja,133,22,BT-F,0.067787
densidad-baja,134,22,BT-0,0.078366
densidad-baja,134,22,BT-F,0.036548
densidad-baja,135,22,BT-0,0.092031
densidad-baja,135,22,BT-F,0.079709
densidad-baja,136,22,BT-0,0.0643
densidad-baja,136,22,BT-F,0.060363
densidad-baja,137,23,BT-0,0.063468
densidad-baja,137,23,BT-F,0.114504
densidad-baja,138,23,BT-0,0.115175
densidad-baja,138,23,BT-F,0.109094
densidad-baja,139,23,BT-0,0.049702
densidad-baja,139,23,BT-F,0.087774
densidad-baja,140,23,BT-0,0.118942
densidad-baja,140,23,BT-F,0.086381
densidad-baja,141,23,BT-0,0.080881
densidad-baja,141,23,BT-F,0.076634
densidad-baja,142,23,BT-0,0.078326
densidad-baja,142,23,BT-F,0.090219
densidad-baja,143,24,BT-0,0.08598
densidad-baja,143,24,BT-F,0.077215
densidad-baja,144,24,BT-0,0.115306
densidad-baja,144,24,BT-F,0.099536
densidad-baja,145,24,BT-0,0.097182
densidad-baja,145,24,BT-F,0.092032
densidad-baja,146,24,BT-0,0.100658
densidad-baja,146,24,BT-F,0.09084
densidad-baja,147,24,BT-0,0.10182
densidad-baja,147,24,BT-F,0.097983
densidad-baja,148,24,BT-0,0.072736
densidad-baja,148,24,BT-F,0.084297
densidad-baja,149,25,BT-0,0.077445
densidad-baja,149,25,BT-F,0.099596
densidad-baja,150,25,BT-0,0.113462
densidad-baja,150,25,BT-F,0.104605
densidad-baja,151,25,BT-0,0.109123
densidad-baja,151,25,BT-F,0.040616
densidad-baja,152,25,BT-0,0.099035
densidad-baja,152,25,BT-F,0.099155
densidad-baja,153,25,BT-0,0.056345
densidad-baja,153,25,BT-F,0.10724
densidad-baja,154,25,BT-0,0.109024
densidad-baja,154,25,BT-F,0.11739
densidad-baja,155,26,BT-0,0.178093
densidad-baja,155,26,BT-F,0.131516
densidad-baja,156,26,BT-0,0.135694
densidad-baja,156,26,BT-F,0.12862
densidad-baja,157,26,BT-0,0.043752
densidad-baja,157,26,BT-F,0.101098
densidad-baja,158,26,BT-0,0.142006
densidad-baja,158,26,BT-F,0.07487
densidad-baja,159,26,BT-0,0.091832
densidad-baja,159,26,BT-F,0.053671
densidad-baja,160,26,BT-0,0.225461
densidad-baja,160,26,BT-F,0.13381
densidad-baja,161,27,BT-0,0.162854
densidad-baja,161,27,BT-F,0.150541
