dataset,n,R,metodo,tiempo
densidad-alta,0,6,BF,0.000741
densidad-alta,1,12,BF,0.000842
densidad-alta,2,18,BF,0.001152
densidad-alta,3,24,BF,0.001814
densidad-alta,4,30,BF,0.002665
densidad-alta,5,36,BF,0.004158
densidad-alta,6,42,BF,0.008055
densidad-alta,7,48,BF,0.012433
densidad-alta,8,54,BF,0.022191
densidad-alta,9,60,BF,0.047139
densidad-alta,10,66,BF,0.085069
densidad-alta,11,72,BF,0.176951
densidad-alta,12,78,BF,0.331291
densidad-alta,13,84,BF,0.645871
densidad-alta,14,90,BF,1.34936
densidad-alta,15,96,BF,2.47887
densidad-alta,16,102,BF,5.25589
densidad-alta,17,108,BF,4.83693
densidad-alta,18,114,BF,15.8434
densidad-alta,19,120,BF,23.8162
densidad-alta,20,126,BF,43.3385
densidad-alta,21,132,BF,77.5154
densidad-alta,22,138,BF,150.707
densidad-alta,23,144,BF,301.567
densidad-alta,24,150,BF,588.248
densidad-alta,25,156,BF,1170.8
densidad-alta,26,162,BF,2347.81
densidad-alta,27,168,BF,4653.49
densidad-alta,28,174,BF,9357.4
densidad-alta,29,180,BF,18690.6
densidad-baja,0,0,BF,0.000682
densidad-baja,1,0,BF,0.000882
densidad-baja,2,0,BF,0.001152
densidad-baja,3,0,BF,0.001463
densidad-baja,4,0,BF,0.002474
densidad-baja,5,1,BF,0.003366
densidad-baja,6,1,BF,0.006392
densidad-baja,7,1,BF,0.0108
densidad-baja,8,1,BF,0.020529
densidad-baja,9,1,BF,0.033874
densidad-baja,10,1,BF,0.084869
densidad-baja,11,2,BF,0.155682
densidad-baja,12,2,BF,0.309821
densidad-baja,13,2,BF,0.575549
densidad-baja,14,2,BF,1.2424
densidad-baja,15,2,BF,2.48228
densidad-baja,16,2,BF,5.07907
densidad-baja,17,3,BF,9.0538
densidad-baja,18,3,BF,15.8228
densidad-baja,19,3,BF,24.2199
densidad-baja,20,3,BF,43.0152
densidad-baja,21,3,BF,77.3647
densidad-baja,22,3,BF,151.537
densidad-baja,23,4,BF,297.609
densidad-baja,24,4,BF,592.083
densidad-baja,25,4,BF,1175.15
densidad-baja,26,4,BF,2342.75
densidad-baja,27,4,BF,4681.59
densidad-baja,28,4,BF,9359.01
densidad-baja,29,5,BF,18706.9
densidad-baja,0,0,BF,0.000792
densidad-baja,1,0,BF,0.000942
densidad-baja,2,0,BF,0.001162
densidad-baja,3,0,BF,0.001973
densidad-baja,4,0,BF,0.002384
densidad-baja,5,1,BF,0.004428
densidad-baja,6,1,BF,0.005891
densidad-baja,7,1,BF,0.017322
densidad-baja,8,1,BF,0.020338
densidad-baja,9,1,BF,0.043522
densidad-baja,10,1,BF,0.078337
densidad-baja,11,2,BF,0.158016
densidad-baja,12,2,BF,0.307737
densidad-baja,13,2,BF,0.646442
densidad-baja,14,2,BF,1.07636
densidad-baja,15,2,BF,3.46166
densidad-baja,16,2,BF,5.08792
densidad-baja,17,3,BF,9.82321
densidad-baja,18,3,BF,14.7766
densidad-baja,19,3,BF,25.7248
densidad-baja,20,3,BF,42.3016
densidad-baja,21,3,BF,79.7933
densidad-baja,22,3,BF,151.675
densidad-baja,23,4,BF,301.527
densidad-baja,24,4,BF,590.704
densidad-baja,25,4,BF,1175.27
densidad-baja,26,4,BF,2340.96
densidad-baja,27,4,BF,4679.27
densidad-baja,28,4,BF,9363.58
densidad-baja,29,5,BF,18698.4
densidad-mezclada,0,2,BF,0.000962
densidad-mezclada,1,5,BF,0.000902
densidad-mezclada,2,8,BF,0.001443
densidad-mezclada,3,11,BF,0.001653
densidad-mezclada,4,15,BF,0.002735
densidad-mezclada,5,19,BF,0.007364
densidad-mezclada,6,23,BF,0.007423
densidad-mezclada,7,28,BF,0.012985
densidad-mezclada,8,33,BF,0.024546
densidad-mezclada,9,38,BF,0.041759
densidad-mezclada,10,44,BF,0.079489
densidad-mezclada,11,50,BF,0.155422
densidad-mezclada,12,57,BF,0.30951
densidad-mezclada,13,63,BF,0.614723
densidad-mezclada,14,70,BF,1.26304
densidad-mezclada,15,78,BF,2.4445
densidad-mezclada,16,85,BF,5.08976
densidad-mezclada,17,94,BF,8.17357
densidad-mezclada,18,102,BF,16.9215
densidad-mezclada,19,111,BF,20.9754
densidad-mezclada,20,120,BF,42.502
densidad-mezclada,21,129,BF,79.2028
densidad-mezclada,22,139,BF,150.507
densidad-mezclada,23,149,BF,297.782
densidad-mezclada,24,159,BF,588.316
densidad-mezclada,25,170,BF,1196.55
densidad-mezclada,26,181,BF,2345.68
densidad-mezclada,27,192,BF,4686.71
densidad-mezclada,28,204,BF,9364.29
densidad-mezclada,29,216,BF,18734.7
mejor-caso-bt,0,1,BT-0,0.000891
mejor-caso-bt,1,2,BT-0,0.001142
mejor-caso-bt,2,3,BT-0,0.001123
mejor-caso-bt,3,4,BT-0,0.001202
mejor-caso-bt,4,5,BT-0,0.001383
mejor-caso-bt,5,6,BT-0,0.001333
mejor-caso-bt,6,7,BT-0,0.001563
mejor-caso-bt,7,8,BT-0,0.001653
mejor-caso-bt,8,9,BT-0,0.001894
mejor-caso-bt,9,10,BT-0,0.002966
mejor-caso-bt,10,11,BT-0,0.001813
mejor-caso-bt,11,12,BT-0,0.001953
mejor-caso-bt,12,13,BT-0,0.002224
mejor-caso-bt,13,14,BT-0,0.002284
mejor-caso-bt,14,15,BT-0,0.002354
mejor-caso-bt,15,16,BT-0,0.002204
mejor-caso-bt,16,17,BT-0,0.002314
mejor-caso-bt,17,18,BT-0,0.002304
mejor-caso-bt,18,19,BT-0,0.002926
mejor-caso-bt,19,20,BT-0,0.002524
mejor-caso-bt,20,21,BT-0,0.002765
mejor-caso-bt,21,22,BT-0,0.002706
mejor-caso-bt,22,23,BT-0,0.002515
mejor-caso-bt,23,24,BT-0,0.002896
mejor-caso-bt,24,25,BT-0,0.003116
mejor-caso-bt,25,26,BT-0,0.003035
mejor-caso-bt,26,27,BT-0,0.003376
mejor-caso-bt,27,28,BT-0,0.003467
mejor-caso-bt,28,29,BT-0,0.003537
mejor-caso-bt,29,30,BT-0,0.003647
mejor-caso-bt,30,31,BT-0,0.003657
mejor-caso-bt,31,32,BT-0,0.003527
mejor-caso-bt,32,33,BT-0,0.003987
mejor-caso-bt,33,34,BT-0,0.003757
mejor-caso-bt,34,35,BT-0,0.003316
mejor-caso-bt,35,36,BT-0,0.003757
mejor-caso-bt,36,37,BT-0,0.003797
mejor-caso-bt,37,38,BT-0,0.004137
mejor-caso-bt,38,39,BT-0,0.003517
mejor-caso-bt,39,40,BT-0,0.004799
mejor-caso-bt,40,41,BT-0,0.004208
mejor-caso-bt,41,42,BT-0,0.004278
mejor-caso-bt,42,43,BT-0,0.004599
mejor-caso-bt,43,44,BT-0,0.004429
mejor-caso-bt,44,45,BT-0,0.004759
mejor-caso-bt,45,46,BT-0,0.004969
mejor-caso-bt,46,47,BT-0,0.004629
mejor-caso-bt,47,48,BT-0,0.004799
mejor-caso-bt,48,49,BT-0,0.005069
mejor-caso-bt,49,50,BT-0,0.004989
mejor-caso-bt,50,51,BT-0,0.004869
mejor-caso-bt,51,52,BT-0,0.0055
mejor-caso-bt,52,53,BT-0,0.005581
mejor-caso-bt,53,54,BT-0,0.00519
mejor-caso-bt,54,55,BT-0,0.007434
mejor-caso-bt,55,56,BT-0,0.00544
mejor-caso-bt,56,57,BT-0,0.00559
mejor-caso-bt,57,58,BT-0,0.006192
mejor-caso-bt,58,59,BT-0,0.00566
mejor-caso-bt,59,60,BT-0,0.005631
mejor-caso-bt,60,61,BT-0,0.006131
mejor-caso-bt,61,62,BT-0,0.006513
mejor-caso-bt,62,63,BT-0,0.007424
mejor-caso-bt,63,64,BT-0,0.006352
mejor-caso-bt,64,65,BT-0,0.006042
mejor-caso-bt,65,66,BT-0,0.006072
mejor-caso-bt,66,67,BT-0,0.006783
mejor-caso-bt,67,68,BT-0,0.011943
mejor-caso-bt,68,69,BT-0,0.01033
mejor-caso-bt,69,70,BT-0,0.006352
mejor-caso-bt,70,71,BT-0,0.007734
mejor-caso-bt,71,72,BT-0,0.008546
mejor-caso-bt,72,73,BT-0,0.007093
mejor-caso-bt,73,74,BT-0,0.006783
mejor-caso-bt,74,75,BT-0,0.009227
mejor-caso-bt,75,76,BT-0,0.007714
mejor-caso-bt,76,77,BT-0,0.008566
mejor-caso-bt,77,78,BT-0,0.006973
mejor-caso-bt,78,79,BT-0,0.009568
mejor-caso-bt,79,80,BT-0,0.009457
mejor-caso-bt,80,81,BT-0,0.008757
mejor-caso-bt,81,82,BT-0,0.009238
mejor-caso-bt,82,83,BT-0,0.008316
mejor-caso-bt,83,84,BT-0,0.009007
mejor-caso-bt,84,85,BT-0,0.00552
mejor-caso-bt,85,86,BT-0,0.009147
mejor-caso-bt,86,87,BT-0,0.009749
mejor-caso-bt,87,88,BT-0,0.009789
mejor-caso-bt,88,89,BT-0,0.011302
mejor-caso-bt,89,90,BT-0,0.009418
mejor-caso-bt,90,91,BT-0,0.009618
mejor-caso-bt,91,92,BT-0,0.009819
mejor-caso-bt,92,93,BT-0,0.009778
mejor-caso-bt,93,94,BT-0,0.01034
mejor-caso-bt,94,95,BT-0,0.010539
mejor-caso-bt,95,96,BT-0,0.009979
mejor-caso-bt,96,97,BT-0,0.010159
mejor-caso-bt,97,98,BT-0,0.010119
mejor-caso-bt,98,99,BT-0,0.011221
mejor-caso-bt,99,100,BT-0,0.01064
mejor-caso-bt,100,101,BT-0,0.007193
mejor-caso-bt,101,102,BT-0,0.015769
mejor-caso-bt,102,103,BT-0,0.011362
